task,nc,nm,seed,f,c,f_star,c_star
task1_deductive,500,10000,2,1.0,0.537332,1.0,0.73
task1_deductive,500,10000,3,0.984319,0.527288,1.0,0.73
task1_deductive,500,10000,4,0.982011,0.486275,1.0,0.73
task1_deductive,500,10000,5,1.0,0.594616,1.0,0.73
task1_deductive,500,10000,6,0.992503,0.571227,1.0,0.73
task1_deductive,500,10000,8,1.0,0.492883,1.0,0.73
task1_deductive,500,10000,7,0.999368,0.528238,1.0,0.73
task1_deductive,1000,10000,0,0.94659,0.516491,1.0,0.73
task1_deductive,500,10000,9,0.998539,0.459712,1.0,0.73
task1_deductive,1000,10000,1,1.0,0.588364,1.0,0.73
task1_deductive,1000,10000,2,1.0,0.575748,1.0,0.73
task1_deductive,1000,10000,3,0.984319,0.565704,1.0,0.73
task1_deductive,1000,10000,4,0.982011,0.524691,1.0,0.73
task1_deductive,1000,10000,6,0.992503,0.609643,1.0,0.73
task1_deductive,1000,10000,5,1.0,0.633032,1.0,0.73
task1_deductive,1000,10000,7,0.999368,0.566653,1.0,0.73
task1_deductive,1000,10000,8,1.0,0.531299,1.0,0.73
task1_deductive,1000,10000,9,0.998539,0.498128,1.0,0.73
task1_deductive,5000,10000,0,0.94659,0.596482,1.0,0.73
task1_deductive,5000,10000,1,1.0,0.668355,1.0,0.73
task1_deductive,5000,10000,3,0.984319,0.645695,1.0,0.73
task1_deductive,5000,10000,2,1.0,0.655739,1.0,0.73
task1_deductive,5000,10000,4,0.982011,0.604682,1.0,0.73
task1_deductive,5000,10000,5,1.0,0.713023,1.0,0.73
task1_deductive,5000,10000,6,0.992503,0.689634,1.0,0.73
task1_deductive,5000,10000,8,1.0,0.61129,1.0,0.73
task1_deductive,5000,10000,7,0.999368,0.646645,1.0,0.73
task1_deductive,5000,10000,9,0.998539,0.578119,1.0,0.73
task1_deductive,50000,10000,1,1.0,0.755376,1.0,0.73
task1_deductive,50000,10000,0,0.94659,0.683503,1.0,0.73
task1_deductive,50000,10000,3,0.984319,0.732717,1.0,0.73
task1_deductive,50000,10000,2,1.0,0.74276,1.0,0.73
task1_deductive,50000,10000,4,0.982011,0.691703,1.0,0.73
task1_deductive,50000,10000,5,1.0,0.800044,1.0,0.73
task1_deductive,50000,10000,6,0.992503,0.776655,1.0,0.73
task1_deductive,50000,10000,7,0.999368,0.733666,1.0,0.73
task1_deductive,50000,10000,8,1.0,0.698311,1.0,0.73
task1_deductive,50000,10000,9,0.998539,0.665141,1.0,0.73
task2_inductive,10,10000,0,0.805637,0.347861,0.82,0.61
task2_inductive,10,10000,1,0.813582,0.301936,0.82,0.61
task2_inductive,10,10000,3,0.818438,0.354645,0.82,0.61
task2_inductive,10,10000,2,0.82755,0.273016,0.82,0.61
task2_inductive,10,10000,4,0.808379,0.308229,0.82,0.61
task2_inductive,10,10000,5,0.830631,0.30871,0.82,0.61
task2_inductive,10,10000,6,0.817028,0.320907,0.82,0.61
task2_inductive,10,10000,7,0.828975,0.3227,0.82,0.61
task2_inductive,10,10000,8,0.841937,0.312277,0.82,0.61
task2_inductive,10,10000,9,0.831273,0.324634,0.82,0.61
task2_inductive,50,10000,0,0.805637,0.413372,0.82,0.61
task2_inductive,50,10000,1,0.813582,0.367446,0.82,0.61
task2_inductive,50,10000,2,0.82755,0.338527,0.82,0.61
task2_inductive,50,10000,3,0.818438,0.420155,0.82,0.61
task2_inductive,50,10000,4,0.808379,0.37374,0.82,0.61
task2_inductive,50,10000,5,0.830631,0.37422,0.82,0.61
task2_inductive,50,10000,7,0.828975,0.38821,0.82,0.61
task2_inductive,50,10000,8,0.841937,0.377787,0.82,0.61
task2_inductive,50,10000,9,0.831273,0.390144,0.82,0.61
task2_inductive,50,10000,6,0.817028,0.386417,0.82,0.61
task2_inductive,100,10000,0,0.805637,0.441828,0.82,0.61
task2_inductive,100,10000,1,0.813582,0.395903,0.82,0.61
task2_inductive,100,10000,2,0.82755,0.366983,0.82,0.61
task2_inductive,100,10000,3,0.818438,0.448612,0.82,0.61
task2_inductive,100,10000,4,0.808379,0.402196,0.82,0.61
task2_inductive,100,10000,5,0.830631,0.402677,0.82,0.61
task2_inductive,100,10000,6,0.817028,0.414874,0.82,0.61
task2_inductive,100,10000,8,0.841937,0.406244,0.82,0.61
task2_inductive,100,10000,7,0.828975,0.416667,0.82,0.61
task2_inductive,250,10000,0,0.805637,0.478882,0.82,0.61
task2_inductive,100,10000,9,0.831273,0.418601,0.82,0.61
task2_inductive,250,10000,1,0.813582,0.432956,0.82,0.61
task2_inductive,250,10000,2,0.82755,0.404037,0.82,0.61
task2_inductive,250,10000,3,0.818438,0.485665,0.82,0.61
task2_inductive,250,10000,5,0.830631,0.43973,0.82,0.61
task2_inductive,250,10000,4,0.808379,0.43925,0.82,0.61
task2_inductive,250,10000,6,0.817028,0.451927,0.82,0.61
task2_inductive,250,10000,7,0.828975,0.45372,0.82,0.61
task2_inductive,250,10000,8,0.841937,0.443297,0.82,0.61
task2_inductive,500,10000,0,0.805637,0.506082,0.82,0.61
task2_inductive,250,10000,9,0.831273,0.455654,0.82,0.61
task2_inductive,500,10000,1,0.813582,0.460156,0.82,0.61
task2_inductive,500,10000,2,0.82755,0.431237,0.82,0.61
task2_inductive,500,10000,3,0.818438,0.512866,0.82,0.61
task2_inductive,500,10000,5,0.830631,0.466931,0.82,0.61
task2_inductive,500,10000,4,0.808379,0.46645,0.82,0.61
task2_inductive,500,10000,7,0.828975,0.48092,0.82,0.61
task2_inductive,500,10000,6,0.817028,0.479128,0.82,0.61
task2_inductive,500,10000,8,0.841937,0.470498,0.82,0.61
task2_inductive,500,10000,9,0.831273,0.482855,0.82,0.61
task2_inductive,1000,10000,0,0.805637,0.532259,0.82,0.61
task2_inductive,1000,10000,1,0.813582,0.486333,0.82,0.61
task2_inductive,1000,10000,2,0.82755,0.457414,0.82,0.61
task2_inductive,1000,10000,3,0.818438,0.539042,0.82,0.61
task2_inductive,1000,10000,4,0.808379,0.492627,0.82,0.61
task2_inductive,1000,10000,6,0.817028,0.505304,0.82,0.61
task2_inductive,1000,10000,5,0.830631,0.493107,0.82,0.61
task2_inductive,1000,10000,7,0.828975,0.507097,0.82,0.61
task2_inductive,1000,10000,8,0.841937,0.496674,0.82,0.61
task2_inductive,1000,10000,9,0.831273,0.509031,0.82,0.61
task2_inductive,5000,10000,1,0.813582,0.541963,0.82,0.61
task2_inductive,5000,10000,0,0.805637,0.587889,0.82,0.61
task2_inductive,5000,10000,2,0.82755,0.513044,0.82,0.61
task2_inductive,5000,10000,3,0.818438,0.594672,0.82,0.61
task2_inductive,5000,10000,4,0.808379,0.548257,0.82,0.61
task2_inductive,5000,10000,5,0.830631,0.548737,0.82,0.61
task2_inductive,5000,10000,6,0.817028,0.560934,0.82,0.61
task2_inductive,5000,10000,7,0.828975,0.562727,0.82,0.61
task2_inductive,5000,10000,8,0.841937,0.552304,0.82,0.61
task2_inductive,5000,10000,9,0.831273,0.564661,0.82,0.61
task2_inductive,50000,10000,1,0.813582,0.606551,0.82,0.61
task2_inductive,50000,10000,0,0.805637,0.652477,0.82,0.61
task2_inductive,50000,10000,2,0.82755,0.577632,0.82,0.61
task2_inductive,50000,10000,3,0.818438,0.65926,0.82,0.61
task2_inductive,50000,10000,4,0.808379,0.612845,0.82,0.61
task2_inductive,50000,10000,5,0.830631,0.613325,0.82,0.61
task2_inductive,50000,10000,7,0.828975,0.627315,0.82,0.61
task2_inductive,50000,10000,6,0.817028,0.625522,0.82,0.61
task2_inductive,50000,10000,8,0.841937,0.616892,0.82,0.61
task2_inductive,50000,10000,9,0.831273,0.629249,0.82,0.61
task3_revision,10,10000,0,0.525965,0.234336,0.52,0.63
task3_revision,10,10000,2,0.483691,0.269507,0.52,0.63
task3_revision,10,10000,1,0.502515,0.247385,0.52,0.63
task3_revision,10,10000,3,0.519279,0.296168,0.52,0.63
task3_revision,10,10000,5,0.522045,0.290753,0.52,0.63
task3_revision,10,10000,4,0.524064,0.309103,0.52,0.63
task3_revision,10,10000,6,0.491683,0.278914,0.52,0.63
task3_revision,10,10000,7,0.485056,0.265094,0.52,0.63
task3_revision,10,10000,8,0.507828,0.303789,0.52,0.63
task3_revision,50,10000,0,0.535965,0.306363,0.52,0.63
task3_revision,10,10000,9,0.483662,0.246482,0.52,0.63
task3_revision,50,10000,1,0.512515,0.319412,0.52,0.63
task3_revision,50,10000,2,0.493691,0.341534,0.52,0.63
task3_revision,50,10000,3,0.529279,0.368195,0.52,0.63
task3_revision,50,10000,4,0.534064,0.38113,0.52,0.63
task3_revision,50,10000,6,0.501683,0.350941,0.52,0.63
task3_revision,50,10000,5,0.532045,0.36278,0.52,0.63
task3_revision,50,10000,7,0.495056,0.337121,0.52,0.63
task3_revision,50,10000,8,0.517828,0.375816,0.52,0.63
task3_revision,50,10000,9,0.493662,0.318509,0.52,0.63
task3_revision,100,10000,0,0.535965,0.338416,0.52,0.63
task3_revision,100,10000,2,0.493691,0.373586,0.52,0.63
task3_revision,100,10000,1,0.512515,0.351464,0.52,0.63
task3_revision,100,10000,3,0.529279,0.400247,0.52,0.63
task3_revision,100,10000,6,0.501683,0.382993,0.52,0.63
task3_revision,100,10000,4,0.534064,0.413182,0.52,0.63
task3_revision,100,10000,5,0.532045,0.394832,0.52,0.63
task3_revision,100,10000,7,0.495056,0.369173,0.52,0.63
task3_revision,100,10000,8,0.517828,0.407868,0.52,0.63
task3_revision,100,10000,9,0.493662,0.350561,0.52,0.63
task3_revision,250,10000,0,0.535965,0.380713,0.52,0.63
task3_revision,250,10000,1,0.512515,0.393762,0.52,0.63
task3_revision,250,10000,2,0.493691,0.415884,0.52,0.63
task3_revision,250,10000,3,0.529279,0.442545,0.52,0.63
task3_revision,250,10000,4,0.534064,0.45548,0.52,0.63
task3_revision,250,10000,5,0.532045,0.43713,0.52,0.63
task3_revision,250,10000,6,0.501683,0.425291,0.52,0.63
task3_revision,250,10000,8,0.517828,0.450166,0.52,0.63
task3_revision,250,10000,7,0.495056,0.411471,0.52,0.63
task3_revision,500,10000,0,0.535965,0.412094,0.52,0.63
task3_revision,250,10000,9,0.493662,0.392859,0.52,0.63
task3_revision,500,10000,2,0.493691,0.447265,0.52,0.63
task3_revision,500,10000,1,0.512515,0.425143,0.52,0.63
task3_revision,500,10000,4,0.534064,0.486861,0.52,0.63
task3_revision,500,10000,3,0.529279,0.473926,0.52,0.63
task3_revision,500,10000,5,0.532045,0.468511,0.52,0.63
task3_revision,500,10000,6,0.501683,0.456672,0.52,0.63
task3_revision,500,10000,7,0.495056,0.442852,0.52,0.63
task3_revision,500,10000,8,0.517828,0.481547,0.52,0.63
task3_revision,500,10000,9,0.493662,0.42424,0.52,0.63
task3_revision,1000,10000,1,0.512515,0.455543,0.52,0.63
task3_revision,1000,10000,2,0.493691,0.477665,0.52,0.63
task3_revision,1000,10000,0,0.535965,0.442495,0.52,0.63
task3_revision,1000,10000,3,0.529279,0.504326,0.52,0.63
task3_revision,1000,10000,4,0.534064,0.517262,0.52,0.63
task3_revision,1000,10000,5,0.532045,0.498912,0.52,0.63
task3_revision,1000,10000,6,0.501683,0.487073,0.52,0.63
task3_revision,1000,10000,7,0.495056,0.473253,0.52,0.63
task3_revision,1000,10000,8,0.517828,0.511947,0.52,0.63
task3_revision,1000,10000,9,0.493662,0.454641,0.52,0.63
task3_revision,5000,10000,0,0.535965,0.507462,0.52,0.63
task3_revision,5000,10000,1,0.512515,0.520511,0.52,0.63
task3_revision,5000,10000,2,0.493691,0.542632,0.52,0.63
task3_revision,5000,10000,3,0.529279,0.569293,0.52,0.63
task3_revision,5000,10000,5,0.532045,0.563879,0.52,0.63
task3_revision,5000,10000,4,0.534064,0.582229,0.52,0.63
task3_revision,5000,10000,6,0.501683,0.55204,0.52,0.63
task3_revision,5000,10000,7,0.495056,0.53822,0.52,0.63
task3_revision,5000,10000,8,0.517828,0.576914,0.52,0.63
task3_revision,5000,10000,9,0.493662,0.519608,0.52,0.63
task3_revision,50000,10000,0,0.535965,0.582662,0.52,0.63
task3_revision,50000,10000,1,0.512515,0.595711,0.52,0.63
task3_revision,50000,10000,2,0.493691,0.617833,0.52,0.63
task3_revision,50000,10000,3,0.529279,0.644494,0.52,0.63
task3_revision,50000,10000,4,0.534064,0.657429,0.52,0.63
task3_revision,50000,10000,5,0.532045,0.639079,0.52,0.63
task3_revision,50000,10000,8,0.517828,0.652115,0.52,0.63
task3_revision,50000,10000,6,0.501683,0.62724,0.52,0.63
task3_revision,50000,10000,9,0.493662,0.594808,0.52,0.63
task3_revision,50000,10000,7,0.495056,0.61342,0.52,0.63
task4_abductive,10,10000,0,0.513114,0.012891,0.72,0.58
task4_abductive,10,10000,1,0.543197,0.037255,0.72,0.58
task4_abductive,10,10000,2,0.542102,0.0,0.72,0.58
task4_abductive,10,10000,3,0.539882,0.088976,0.72,0.58
task4_abductive,10,10000,4,0.524829,0.003405,0.72,0.58
task4_abductive,10,10000,5,0.508582,0.057898,0.72,0.58
task4_abductive,10,10000,7,0.54007,0.07608,0.72,0.58
task4_abductive,10,10000,9,0.516058,0.057916,0.72,0.58
task4_abductive,10,10000,8,0.518816,0.050256,0.72,0.58
task4_abductive,10,10000,6,0.538764,0.031333,0.72,0.58
task4_abductive,50,10000,0,0.623114,0.012891,0.72,0.58
task4_abductive,50,10000,2,0.652102,0.0,0.72,0.58
task4_abductive,50,10000,3,0.649882,0.088976,0.72,0.58
task4_abductive,50,10000,4,0.634829,0.003405,0.72,0.58
task4_abductive,50,10000,1,0.653197,0.037255,0.72,0.58
task4_abductive,50,10000,6,0.648764,0.031333,0.72,0.58
task4_abductive,50,10000,5,0.618582,0.057898,0.72,0.58
task4_abductive,50,10000,8,0.628816,0.050256,0.72,0.58
task4_abductive,50,10000,9,0.626058,0.057916,0.72,0.58
task4_abductive,50,10000,7,0.65007,0.07608,0.72,0.58
task4_abductive,100,10000,0,0.705614,0.012891,0.72,0.58
task4_abductive,100,10000,2,0.734602,0.0,0.72,0.58
task4_abductive,100,10000,4,0.717329,0.003405,0.72,0.58
task4_abductive,100,10000,1,0.735697,0.037255,0.72,0.58
task4_abductive,100,10000,3,0.732382,0.088976,0.72,0.58
task4_abductive,100,10000,5,0.701082,0.057898,0.72,0.58
task4_abductive,100,10000,6,0.731264,0.031333,0.72,0.58
task4_abductive,100,10000,8,0.711316,0.050256,0.72,0.58
task4_abductive,100,10000,7,0.73257,0.07608,0.72,0.58
task4_abductive,100,10000,9,0.708558,0.057916,0.72,0.58
task4_abductive,250,10000,0,0.712092,0.242418,0.72,0.58
task4_abductive,250,10000,1,0.708521,0.23886,0.72,0.58
task4_abductive,250,10000,2,0.703773,0.243022,0.72,0.58
task4_abductive,250,10000,4,0.71205,0.223177,0.72,0.58
task4_abductive,250,10000,3,0.743185,0.19378,0.72,0.58
task4_abductive,250,10000,5,0.715505,0.241413,0.72,0.58
task4_abductive,250,10000,7,0.728836,0.227963,0.72,0.58
task4_abductive,250,10000,6,0.707394,0.193856,0.72,0.58
task4_abductive,250,10000,8,0.73847,0.225709,0.72,0.58
task4_abductive,250,10000,9,0.740864,0.169458,0.72,0.58
task4_abductive,500,10000,0,0.712092,0.536207,0.72,0.58
task4_abductive,500,10000,1,0.708521,0.532649,0.72,0.58
task4_abductive,500,10000,2,0.703773,0.53681,0.72,0.58
task4_abductive,500,10000,3,0.743185,0.487568,0.72,0.58
task4_abductive,500,10000,4,0.71205,0.516966,0.72,0.58
task4_abductive,500,10000,6,0.707394,0.487644,0.72,0.58
task4_abductive,500,10000,5,0.715505,0.535201,0.72,0.58
task4_abductive,500,10000,7,0.728836,0.521751,0.72,0.58
task4_abductive,500,10000,8,0.73847,0.519497,0.72,0.58
task4_abductive,500,10000,9,0.740864,0.463247,0.72,0.58
task4_abductive,1000,10000,0,0.712092,0.541499,0.72,0.58
task4_abductive,1000,10000,1,0.708521,0.537941,0.72,0.58
task4_abductive,1000,10000,2,0.703773,0.542102,0.72,0.58
task4_abductive,1000,10000,3,0.743185,0.49286,0.72,0.58
task4_abductive,1000,10000,4,0.71205,0.522258,0.72,0.58
task4_abductive,1000,10000,5,0.715505,0.540493,0.72,0.58
task4_abductive,1000,10000,6,0.707394,0.492936,0.72,0.58
task4_abductive,1000,10000,8,0.73847,0.524789,0.72,0.58
task4_abductive,1000,10000,7,0.728836,0.527043,0.72,0.58
task4_abductive,1000,10000,9,0.740864,0.468539,0.72,0.58
task4_abductive,5000,10000,0,0.712092,0.578722,0.72,0.58
task4_abductive,5000,10000,1,0.708521,0.575164,0.72,0.58
task4_abductive,5000,10000,3,0.743185,0.530084,0.72,0.58
task4_abductive,5000,10000,2,0.703773,0.579326,0.72,0.58
task4_abductive,5000,10000,4,0.71205,0.559482,0.72,0.58
task4_abductive,5000,10000,5,0.715505,0.577717,0.72,0.58
task4_abductive,5000,10000,7,0.728836,0.564267,0.72,0.58
task4_abductive,5000,10000,9,0.740864,0.505762,0.72,0.58
task4_abductive,5000,10000,6,0.707394,0.53016,0.72,0.58
task4_abductive,50000,10000,0,0.712092,0.615293,0.72,0.58
task4_abductive,50000,10000,1,0.708521,0.611735,0.72,0.58
task4_abductive,5000,10000,8,0.73847,0.562013,0.72,0.58
task4_abductive,50000,10000,3,0.743185,0.566655,0.72,0.58
task4_abductive,50000,10000,4,0.71205,0.596052,0.72,0.58
task4_abductive,50000,10000,2,0.703773,0.615897,0.72,0.58
task4_abductive,50000,10000,5,0.715505,0.614288,0.72,0.58
task4_abductive,50000,10000,6,0.707394,0.566731,0.72,0.58
task4_abductive,50000,10000,7,0.728836,0.600838,0.72,0.58
task4_abductive,50000,10000,8,0.73847,0.598584,0.72,0.58
task4_abductive,50000,10000,9,0.740864,0.542333,0.72,0.58
task5_multihop,10,10000,0,0.503721,0.0,0.68,0.54
task5_multihop,10,10000,1,0.524894,0.055561,0.68,0.54
task5_multihop,10,10000,2,0.521077,0.044175,0.68,0.54
task5_multihop,10,10000,3,0.484304,0.046338,0.68,0.54
task5_multihop,10,10000,4,0.49085,0.067307,0.68,0.54
task5_multihop,10,10000,5,0.501213,0.046079,0.68,0.54
task5_multihop,10,10000,6,0.53286,0.054599,0.68,0.54
task5_multihop,10,10000,7,0.527027,0.0,0.68,0.54
task5_multihop,10,10000,9,0.520646,0.034802,0.68,0.54
task5_multihop,10,10000,8,0.508381,0.039921,0.68,0.54
task5_multihop,50,10000,0,0.539721,0.0,0.68,0.54
task5_multihop,50,10000,1,0.560894,0.055561,0.68,0.54
task5_multihop,50,10000,2,0.557077,0.044175,0.68,0.54
task5_multihop,50,10000,3,0.520304,0.046338,0.68,0.54
task5_multihop,50,10000,4,0.52685,0.067307,0.68,0.54
task5_multihop,50,10000,5,0.537213,0.046079,0.68,0.54
task5_multihop,50,10000,6,0.56886,0.054599,0.68,0.54
task5_multihop,50,10000,7,0.563027,0.0,0.68,0.54
task5_multihop,50,10000,9,0.556646,0.034802,0.68,0.54
task5_multihop,100,10000,0,0.584721,0.0,0.68,0.54
task5_multihop,100,10000,1,0.605894,0.055561,0.68,0.54
task5_multihop,50,10000,8,0.544381,0.039921,0.68,0.54
task5_multihop,100,10000,2,0.602077,0.044175,0.68,0.54
task5_multihop,100,10000,3,0.565304,0.046338,0.68,0.54
task5_multihop,100,10000,5,0.582213,0.046079,0.68,0.54
task5_multihop,100,10000,4,0.57185,0.067307,0.68,0.54
task5_multihop,100,10000,6,0.61386,0.054599,0.68,0.54
task5_multihop,100,10000,7,0.608027,0.0,0.68,0.54
task5_multihop,100,10000,8,0.589381,0.039921,0.68,0.54
task5_multihop,100,10000,9,0.601646,0.034802,0.68,0.54
task5_multihop,250,10000,0,0.674721,0.0,0.68,0.54
task5_multihop,250,10000,1,0.695894,0.055561,0.68,0.54
task5_multihop,250,10000,2,0.692077,0.044175,0.68,0.54
task5_multihop,250,10000,3,0.655304,0.046338,0.68,0.54
task5_multihop,250,10000,4,0.66185,0.067307,0.68,0.54
task5_multihop,250,10000,5,0.672213,0.046079,0.68,0.54
task5_multihop,250,10000,6,0.70386,0.054599,0.68,0.54
task5_multihop,250,10000,7,0.698027,0.0,0.68,0.54
task5_multihop,250,10000,8,0.679381,0.039921,0.68,0.54
task5_multihop,250,10000,9,0.691646,0.034802,0.68,0.54
task5_multihop,500,10000,0,0.654083,0.123582,0.68,0.54
task5_multihop,500,10000,1,0.697028,0.114328,0.68,0.54
task5_multihop,500,10000,2,0.673562,0.096402,0.68,0.54
task5_multihop,500,10000,3,0.679359,0.105368,0.68,0.54
task5_multihop,500,10000,4,0.697439,0.169293,0.68,0.54
task5_multihop,500,10000,5,0.67802,0.100991,0.68,0.54
task5_multihop,500,10000,6,0.693062,0.086232,0.68,0.54
task5_multihop,500,10000,7,0.62964,0.075606,0.68,0.54
task5_multihop,500,10000,8,0.67953,0.103006,0.68,0.54
task5_multihop,500,10000,9,0.677316,0.104996,0.68,0.54
task5_multihop,1000,10000,0,0.654083,0.517415,0.68,0.54
task5_multihop,1000,10000,1,0.697028,0.508162,0.68,0.54
task5_multihop,1000,10000,2,0.673562,0.490236,0.68,0.54
task5_multihop,1000,10000,3,0.679359,0.499202,0.68,0.54
task5_multihop,1000,10000,4,0.697439,0.563126,0.68,0.54
task5_multihop,1000,10000,5,0.67802,0.494825,0.68,0.54
task5_multihop,1000,10000,6,0.693062,0.480066,0.68,0.54
task5_multihop,1000,10000,7,0.62964,0.469439,0.68,0.54
task5_multihop,1000,10000,8,0.67953,0.496839,0.68,0.54
task5_multihop,1000,10000,9,0.677316,0.498829,0.68,0.54
task5_multihop,5000,10000,0,0.654083,0.529669,0.68,0.54
task5_multihop,5000,10000,1,0.697028,0.520415,0.68,0.54
task5_multihop,5000,10000,2,0.673562,0.502489,0.68,0.54
task5_multihop,5000,10000,3,0.679359,0.511455,0.68,0.54
task5_multihop,5000,10000,4,0.697439,0.57538,0.68,0.54
task5_multihop,5000,10000,6,0.693062,0.492319,0.68,0.54
task5_multihop,5000,10000,5,0.67802,0.507078,0.68,0.54
task5_multihop,5000,10000,7,0.62964,0.481693,0.68,0.54
task5_multihop,5000,10000,8,0.67953,0.509093,0.68,0.54
task5_multihop,50000,10000,0,0.654083,0.557415,0.68,0.54
task5_multihop,5000,10000,9,0.677316,0.511083,0.68,0.54
task5_multihop,50000,10000,1,0.697028,0.548162,0.68,0.54
task5_multihop,50000,10000,2,0.673562,0.530236,0.68,0.54
task5_multihop,50000,10000,5,0.67802,0.534825,0.68,0.54
task5_multihop,50000,10000,4,0.697439,0.603126,0.68,0.54
task5_multihop,50000,10000,6,0.693062,0.520066,0.68,0.54
task5_multihop,50000,10000,3,0.679359,0.539202,0.68,0.54
task5_multihop,50000,10000,7,0.62964,0.509439,0.68,0.54
task5_multihop,50000,10000,9,0.677316,0.538829,0.68,0.54
task5_multihop,50000,10000,8,0.67953,0.536839,0.68,0.54
