task,nc,nm,seed,f,c,f_star,c_star
task1_deductive,50000,10000,6,0.992503,0.719347,1.0,0.73
task1_deductive,50000,10000,7,0.999368,0.676358,1.0,0.73
task1_deductive,50000,10000,8,1.0,0.641003,1.0,0.73
task1_deductive,50000,10000,9,0.998539,0.607832,1.0,0.73
task2_inductive,50000,25,0,0.805637,0.384915,0.82,0.61
task2_inductive,50000,25,1,0.813582,0.338989,0.82,0.61
task2_inductive,50000,25,2,0.82755,0.31007,0.82,0.61
task2_inductive,50000,25,3,0.818438,0.391698,0.82,0.61
task2_inductive,50000,25,4,0.808379,0.345283,0.82,0.61
task2_inductive,50000,25,5,0.830631,0.345763,0.82,0.61
task2_inductive,50000,25,6,0.817028,0.35796,0.82,0.61
task2_inductive,50000,25,7,0.828975,0.359753,0.82,0.61
task2_inductive,50000,25,8,0.841937,0.34933,0.82,0.61
task2_inductive,50000,25,9,0.831273,0.361687,0.82,0.61
task2_inductive,50000,50,0,0.805637,0.413372,0.82,0.61
task2_inductive,50000,50,1,0.813582,0.367446,0.82,0.61
task2_inductive,50000,50,3,0.818438,0.420155,0.82,0.61
task2_inductive,50000,50,2,0.82755,0.338527,0.82,0.61
task2_inductive,50000,50,4,0.808379,0.37374,0.82,0.61
task2_inductive,50000,50,5,0.830631,0.37422,0.82,0.61
task2_inductive,50000,50,6,0.817028,0.386417,0.82,0.61
task2_inductive,50000,50,7,0.828975,0.38821,0.82,0.61
task2_inductive,50000,50,8,0.841937,0.377787,0.82,0.61
task2_inductive,50000,50,9,0.831273,0.390144,0.82,0.61
task2_inductive,50000,100,0,0.805637,0.441828,0.82,0.61
task2_inductive,50000,100,1,0.813582,0.395903,0.82,0.61
task2_inductive,50000,100,2,0.82755,0.366983,0.82,0.61
task2_inductive,50000,100,3,0.818438,0.448612,0.82,0.61
task2_inductive,50000,100,4,0.808379,0.402196,0.82,0.61
task2_inductive,50000,100,6,0.817028,0.414874,0.82,0.61
task2_inductive,50000,100,7,0.828975,0.416667,0.82,0.61
task2_inductive,50000,100,8,0.841937,0.406244,0.82,0.61
task2_inductive,50000,100,5,0.830631,0.402677,0.82,0.61
task2_inductive,50000,100,9,0.831273,0.418601,0.82,0.61
task2_inductive,50000,250,0,0.805637,0.478882,0.82,0.61
task2_inductive,50000,250,1,0.813582,0.432956,0.82,0.61
task2_inductive,50000,250,3,0.818438,0.485665,0.82,0.61
task2_inductive,50000,250,2,0.82755,0.404037,0.82,0.61
task2_inductive,50000,250,4,0.808379,0.43925,0.82,0.61
task2_inductive,50000,250,5,0.830631,0.43973,0.82,0.61
task2_inductive,50000,250,6,0.817028,0.451927,0.82,0.61
task2_inductive,50000,250,7,0.828975,0.45372,0.82,0.61
task2_inductive,50000,250,9,0.831273,0.455654,0.82,0.61
task2_inductive,50000,250,8,0.841937,0.443297,0.82,0.61
task2_inductive,50000,500,0,0.805637,0.506082,0.82,0.61
task2_inductive,50000,500,1,0.813582,0.460156,0.82,0.61
task2_inductive,50000,500,2,0.82755,0.431237,0.82,0.61
task2_inductive,50000,500,3,0.818438,0.512866,0.82,0.61
task2_inductive,50000,500,4,0.808379,0.46645,0.82,0.61
task2_inductive,50000,500,5,0.830631,0.466931,0.82,0.61
task2_inductive,50000,500,6,0.817028,0.479128,0.82,0.61
task2_inductive,50000,500,7,0.828975,0.48092,0.82,0.61
task2_inductive,50000,500,8,0.841937,0.470498,0.82,0.61
task2_inductive,50000,500,9,0.831273,0.482855,0.82,0.61
task2_inductive,50000,1000,0,0.805637,0.532259,0.82,0.61
task2_inductive,50000,1000,1,0.813582,0.486333,0.82,0.61
task2_inductive,50000,1000,3,0.818438,0.539042,0.82,0.61
task2_inductive,50000,1000,4,0.808379,0.492627,0.82,0.61
task2_inductive,50000,1000,5,0.830631,0.493107,0.82,0.61
task2_inductive,50000,1000,2,0.82755,0.457414,0.82,0.61
task2_inductive,50000,1000,6,0.817028,0.505304,0.82,0.61
task2_inductive,50000,1000,8,0.841937,0.496674,0.82,0.61
task2_inductive,50000,5000,0,0.805637,0.587889,0.82,0.61
task2_inductive,50000,1000,9,0.831273,0.509031,0.82,0.61
task2_inductive,50000,1000,7,0.828975,0.507097,0.82,0.61
task2_inductive,50000,5000,2,0.82755,0.513044,0.82,0.61
task2_inductive,50000,5000,3,0.818438,0.594672,0.82,0.61
task2_inductive,50000,5000,1,0.813582,0.541963,0.82,0.61
task2_inductive,50000,5000,5,0.830631,0.548737,0.82,0.61
task2_inductive,50000,5000,4,0.808379,0.548257,0.82,0.61
task2_inductive,50000,5000,6,0.817028,0.560934,0.82,0.61
task2_inductive,50000,5000,7,0.828975,0.562727,0.82,0.61
task2_inductive,50000,5000,9,0.831273,0.564661,0.82,0.61
task2_inductive,50000,5000,8,0.841937,0.552304,0.82,0.61
task2_inductive,50000,10000,0,0.805637,0.609273,0.82,0.61
task2_inductive,50000,10000,1,0.813582,0.563347,0.82,0.61
task2_inductive,50000,10000,2,0.82755,0.534428,0.82,0.61
task2_inductive,50000,10000,4,0.808379,0.569641,0.82,0.61
task2_inductive,50000,10000,3,0.818438,0.616057,0.82,0.61
task2_inductive,50000,10000,5,0.830631,0.570121,0.82,0.61
task2_inductive,50000,10000,6,0.817028,0.582319,0.82,0.61
task2_inductive,50000,10000,7,0.828975,0.584111,0.82,0.61
task2_inductive,50000,10000,8,0.841937,0.573689,0.82,0.61
task2_inductive,50000,10000,9,0.831273,0.586046,0.82,0.61
task3_revision,50000,25,0,0.535965,0.29641,0.52,0.63
task3_revision,50000,25,1,0.512515,0.309458,0.52,0.63
task3_revision,50000,25,2,0.493691,0.33158,0.52,0.63
task3_revision,50000,25,3,0.529279,0.358241,0.52,0.63
task3_revision,50000,25,5,0.532045,0.352826,0.52,0.63
task3_revision,50000,25,4,0.534064,0.371177,0.52,0.63
task3_revision,50000,25,6,0.501683,0.340987,0.52,0.63
task3_revision,50000,25,7,0.495056,0.327168,0.52,0.63
task3_revision,50000,25,8,0.517828,0.365862,0.52,0.63
task3_revision,50000,25,9,0.493662,0.308555,0.52,0.63
task3_revision,50000,50,0,0.535965,0.32756,0.52,0.63
task3_revision,50000,50,1,0.512515,0.340608,0.52,0.63
task3_revision,50000,50,2,0.493691,0.36273,0.52,0.63
task3_revision,50000,50,4,0.534064,0.402327,0.52,0.63
task3_revision,50000,50,3,0.529279,0.389391,0.52,0.63
task3_revision,50000,50,5,0.532045,0.383977,0.52,0.63
task3_revision,50000,50,6,0.501683,0.372138,0.52,0.63
task3_revision,50000,50,7,0.495056,0.358318,0.52,0.63
task3_revision,50000,50,8,0.517828,0.397012,0.52,0.63
task3_revision,50000,100,0,0.535965,0.35871,0.52,0.63
task3_revision,50000,50,9,0.493662,0.339706,0.52,0.63
task3_revision,50000,100,1,0.512515,0.371759,0.52,0.63
task3_revision,50000,100,2,0.493691,0.393881,0.52,0.63
task3_revision,50000,100,3,0.529279,0.420541,0.52,0.63
task3_revision,50000,100,5,0.532045,0.415127,0.52,0.63
task3_revision,50000,100,4,0.534064,0.433477,0.52,0.63
task3_revision,50000,100,6,0.501683,0.403288,0.52,0.63
task3_revision,50000,100,7,0.495056,0.389468,0.52,0.63
task3_revision,50000,100,9,0.493662,0.370856,0.52,0.63
task3_revision,50000,100,8,0.517828,0.428162,0.52,0.63
task3_revision,50000,250,0,0.535965,0.399165,0.52,0.63
task3_revision,50000,250,1,0.512515,0.412214,0.52,0.63
task3_revision,50000,250,2,0.493691,0.434336,0.52,0.63
task3_revision,50000,250,3,0.529279,0.460996,0.52,0.63
task3_revision,50000,250,5,0.532045,0.455582,0.52,0.63
task3_revision,50000,250,4,0.534064,0.473932,0.52,0.63
task3_revision,50000,250,6,0.501683,0.443743,0.52,0.63
task3_revision,50000,250,7,0.495056,0.429923,0.52,0.63
task3_revision,50000,250,8,0.517828,0.468617,0.52,0.63
task3_revision,50000,500,0,0.535965,0.42871,0.52,0.63
task3_revision,50000,250,9,0.493662,0.411311,0.52,0.63
task3_revision,50000,500,1,0.512515,0.441759,0.52,0.63
task3_revision,50000,500,2,0.493691,0.463881,0.52,0.63
task3_revision,50000,500,3,0.529279,0.490541,0.52,0.63
task3_revision,50000,500,5,0.532045,0.485127,0.52,0.63
task3_revision,50000,500,4,0.534064,0.503477,0.52,0.63
task3_revision,50000,500,6,0.501683,0.473288,0.52,0.63
task3_revision,50000,500,7,0.495056,0.459468,0.52,0.63
task3_revision,50000,500,8,0.517828,0.498162,0.52,0.63
task3_revision,50000,1000,0,0.535965,0.456959,0.52,0.63
task3_revision,50000,500,9,0.493662,0.440856,0.52,0.63
task3_revision,50000,1000,1,0.512515,0.470008,0.52,0.63
task3_revision,50000,1000,2,0.493691,0.49213,0.52,0.63
task3_revision,50000,1000,3,0.529279,0.518791,0.52,0.63
task3_revision,50000,1000,4,0.534064,0.531726,0.52,0.63
task3_revision,50000,1000,5,0.532045,0.513376,0.52,0.63
task3_revision,50000,1000,6,0.501683,0.501537,0.52,0.63
task3_revision,50000,1000,7,0.495056,0.487717,0.52,0.63
task3_revision,50000,1000,8,0.517828,0.526412,0.52,0.63
task3_revision,50000,1000,9,0.493662,0.469105,0.52,0.63
task3_revision,50000,5000,0,0.535965,0.516133,0.52,0.63
task3_revision,50000,5000,1,0.512515,0.529181,0.52,0.63
task3_revision,50000,5000,2,0.493691,0.551303,0.52,0.63
task3_revision,50000,5000,3,0.529279,0.577964,0.52,0.63
task3_revision,50000,5000,4,0.534064,0.5909,0.52,0.63
task3_revision,50000,5000,5,0.532045,0.57255,0.52,0.63
task3_revision,50000,5000,6,0.501683,0.560711,0.52,0.63
task3_revision,50000,5000,7,0.495056,0.546891,0.52,0.63
task3_revision,50000,5000,8,0.517828,0.585585,0.52,0.63
task3_revision,50000,5000,9,0.493662,0.528279,0.52,0.63
task3_revision,50000,10000,0,0.535965,0.538468,0.52,0.63
task3_revision,50000,10000,2,0.493691,0.573639,0.52,0.63
task3_revision,50000,10000,1,0.512515,0.551517,0.52,0.63
task3_revision,50000,10000,3,0.529279,0.6003,0.52,0.63
task3_revision,50000,10000,5,0.532045,0.594885,0.52,0.63
task3_revision,50000,10000,4,0.534064,0.613235,0.52,0.63
task3_revision,50000,10000,7,0.495056,0.569226,0.52,0.63
task3_revision,50000,10000,6,0.501683,0.583046,0.52,0.63
task3_revision,50000,10000,8,0.517828,0.607921,0.52,0.63
task3_revision,50000,10000,9,0.493662,0.550614,0.52,0.63
task4_abductive,50000,25,0,0.595614,0.012891,0.72,0.58
task4_abductive,50000,25,1,0.625697,0.037255,0.72,0.58
task4_abductive,50000,25,2,0.624602,0.0,0.72,0.58
task4_abductive,50000,25,3,0.622382,0.088976,0.72,0.58
task4_abductive,50000,25,4,0.607329,0.003405,0.72,0.58
task4_abductive,50000,25,5,0.591082,0.057898,0.72,0.58
task4_abductive,50000,25,6,0.621264,0.031333,0.72,0.58
task4_abductive,50000,25,7,0.62257,0.07608,0.72,0.58
task4_abductive,50000,25,8,0.601316,0.050256,0.72,0.58
task4_abductive,50000,25,9,0.598558,0.057916,0.72,0.58
task4_abductive,50000,50,0,0.705614,0.012891,0.72,0.58
task4_abductive,50000,50,1,0.735697,0.037255,0.72,0.58
task4_abductive,50000,50,2,0.734602,0.0,0.72,0.58
task4_abductive,50000,50,3,0.732382,0.088976,0.72,0.58
task4_abductive,50000,50,4,0.717329,0.003405,0.72,0.58
task4_abductive,50000,50,6,0.731264,0.031333,0.72,0.58
task4_abductive,50000,50,5,0.701082,0.057898,0.72,0.58
task4_abductive,50000,50,7,0.73257,0.07608,0.72,0.58
task4_abductive,50000,50,8,0.711316,0.050256,0.72,0.58
task4_abductive,50000,50,9,0.708558,0.057916,0.72,0.58
task4_abductive,50000,100,0,0.712092,0.064293,0.72,0.58
task4_abductive,50000,100,1,0.708521,0.060735,0.72,0.58
task4_abductive,50000,100,2,0.703773,0.064897,0.72,0.58
task4_abductive,50000,100,3,0.743185,0.015655,0.72,0.58
task4_abductive,50000,100,4,0.71205,0.045052,0.72,0.58
task4_abductive,50000,100,5,0.715505,0.063288,0.72,0.58
task4_abductive,50000,100,7,0.728836,0.049838,0.72,0.58
task4_abductive,50000,100,6,0.707394,0.015731,0.72,0.58
task4_abductive,50000,100,8,0.73847,0.047584,0.72,0.58
task4_abductive,50000,250,0,0.712092,0.535293,0.72,0.58
task4_abductive,50000,100,9,0.740864,0.0,0.72,0.58
task4_abductive,50000,250,1,0.708521,0.531735,0.72,0.58
task4_abductive,50000,250,2,0.703773,0.535897,0.72,0.58
task4_abductive,50000,250,3,0.743185,0.486655,0.72,0.58
task4_abductive,50000,250,4,0.71205,0.516052,0.72,0.58
task4_abductive,50000,250,5,0.715505,0.534288,0.72,0.58
task4_abductive,50000,250,6,0.707394,0.486731,0.72,0.58
task4_abductive,50000,250,7,0.728836,0.520838,0.72,0.58
task4_abductive,50000,250,8,0.73847,0.518584,0.72,0.58
task4_abductive,50000,250,9,0.740864,0.462333,0.72,0.58
task4_abductive,50000,500,0,0.712092,0.538765,0.72,0.58
task4_abductive,50000,500,2,0.703773,0.539368,0.72,0.58
task4_abductive,50000,500,1,0.708521,0.535207,0.72,0.58
task4_abductive,50000,500,3,0.743185,0.490126,0.72,0.58
task4_abductive,50000,500,5,0.715505,0.537759,0.72,0.58
task4_abductive,50000,500,4,0.71205,0.519524,0.72,0.58
task4_abductive,50000,500,7,0.728836,0.524309,0.72,0.58
task4_abductive,50000,500,6,0.707394,0.490202,0.72,0.58
task4_abductive,50000,500,8,0.73847,0.522055,0.72,0.58
task4_abductive,50000,1000,0,0.712092,0.546283,0.72,0.58
task4_abductive,50000,500,9,0.740864,0.465805,0.72,0.58
task4_abductive,50000,1000,1,0.708521,0.542725,0.72,0.58
task4_abductive,50000,1000,2,0.703773,0.546886,0.72,0.58
task4_abductive,50000,1000,3,0.743185,0.497644,0.72,0.58
task4_abductive,50000,1000,4,0.71205,0.527042,0.72,0.58
task4_abductive,50000,1000,5,0.715505,0.545277,0.72,0.58
task4_abductive,50000,1000,6,0.707394,0.497721,0.72,0.58
task4_abductive,50000,1000,7,0.728836,0.531827,0.72,0.58
task4_abductive,50000,1000,8,0.73847,0.529573,0.72,0.58
task4_abductive,50000,1000,9,0.740864,0.473323,0.72,0.58
task4_abductive,50000,5000,0,0.712092,0.584855,0.72,0.58
task4_abductive,50000,5000,1,0.708521,0.581297,0.72,0.58
task4_abductive,50000,5000,2,0.703773,0.585458,0.72,0.58
task4_abductive,50000,5000,3,0.743185,0.536216,0.72,0.58
task4_abductive,50000,5000,4,0.71205,0.565614,0.72,0.58
task4_abductive,50000,5000,5,0.715505,0.583849,0.72,0.58
task4_abductive,50000,5000,6,0.707394,0.536292,0.72,0.58
task4_abductive,50000,5000,7,0.728836,0.570399,0.72,0.58
task4_abductive,50000,5000,8,0.73847,0.568145,0.72,0.58
task4_abductive,50000,10000,1,0.708521,0.597057,0.72,0.58
task4_abductive,50000,10000,0,0.712092,0.600615,0.72,0.58
task4_abductive,50000,5000,9,0.740864,0.511895,0.72,0.58
task4_abductive,50000,10000,2,0.703773,0.601219,0.72,0.58
task4_abductive,50000,10000,3,0.743185,0.551977,0.72,0.58
task4_abductive,50000,10000,4,0.71205,0.581375,0.72,0.58
task4_abductive,50000,10000,6,0.707394,0.552053,0.72,0.58
task4_abductive,50000,10000,5,0.715505,0.59961,0.72,0.58
task4_abductive,50000,10000,7,0.728836,0.58616,0.72,0.58
task4_abductive,50000,10000,8,0.73847,0.583906,0.72,0.58
task5_multihop,50000,25,0,0.517221,0.0,0.68,0.54
task4_abductive,50000,10000,9,0.740864,0.527655,0.72,0.58
task5_multihop,50000,25,2,0.534577,0.044175,0.68,0.54
task5_multihop,50000,25,1,0.538394,0.055561,0.68,0.54
task5_multihop,50000,25,4,0.50435,0.067307,0.68,0.54
task5_multihop,50000,25,3,0.497804,0.046338,0.68,0.54
task5_multihop,50000,25,5,0.514713,0.046079,0.68,0.54
task5_multihop,50000,25,7,0.540527,0.0,0.68,0.54
task5_multihop,50000,25,6,0.54636,0.054599,0.68,0.54
task5_multihop,50000,25,8,0.521881,0.039921,0.68,0.54
task5_multihop,50000,50,0,0.539721,0.0,0.68,0.54
task5_multihop,50000,50,1,0.560894,0.055561,0.68,0.54
task5_multihop,50000,50,2,0.557077,0.044175,0.68,0.54
task5_multihop,50000,25,9,0.534146,0.034802,0.68,0.54
task5_multihop,50000,50,3,0.520304,0.046338,0.68,0.54
task5_multihop,50000,50,4,0.52685,0.067307,0.68,0.54
task5_multihop,50000,50,5,0.537213,0.046079,0.68,0.54
task5_multihop,50000,50,6,0.56886,0.054599,0.68,0.54
task5_multihop,50000,50,8,0.544381,0.039921,0.68,0.54
task5_multihop,50000,50,7,0.563027,0.0,0.68,0.54
task5_multihop,50000,50,9,0.556646,0.034802,0.68,0.54
task5_multihop,50000,100,0,0.584721,0.0,0.68,0.54
task5_multihop,50000,100,1,0.605894,0.055561,0.68,0.54
task5_multihop,50000,100,2,0.602077,0.044175,0.68,0.54
task5_multihop,50000,100,3,0.565304,0.046338,0.68,0.54
task5_multihop,50000,100,4,0.57185,0.067307,0.68,0.54
task5_multihop,50000,100,5,0.582213,0.046079,0.68,0.54
task5_multihop,50000,100,6,0.61386,0.054599,0.68,0.54
task5_multihop,50000,100,8,0.589381,0.039921,0.68,0.54
task5_multihop,50000,100,7,0.608027,0.0,0.68,0.54
task5_multihop,50000,100,9,0.601646,0.034802,0.68,0.54
task5_multihop,50000,250,0,0.674721,0.0,0.68,0.54
task5_multihop,50000,250,2,0.692077,0.044175,0.68,0.54
task5_multihop,50000,250,1,0.695894,0.055561,0.68,0.54
task5_multihop,50000,250,3,0.655304,0.046338,0.68,0.54
task5_multihop,50000,250,4,0.66185,0.067307,0.68,0.54
task5_multihop,50000,250,6,0.70386,0.054599,0.68,0.54
task5_multihop,50000,250,5,0.672213,0.046079,0.68,0.54
task5_multihop,50000,250,7,0.698027,0.0,0.68,0.54
task5_multihop,50000,250,8,0.679381,0.039921,0.68,0.54
task5_multihop,50000,250,9,0.691646,0.034802,0.68,0.54
task5_multihop,50000,500,1,0.697028,0.114328,0.68,0.54
task5_multihop,50000,500,0,0.654083,0.123582,0.68,0.54
task5_multihop,50000,500,3,0.679359,0.105368,0.68,0.54
task5_multihop,50000,500,2,0.673562,0.096402,0.68,0.54
task5_multihop,50000,500,4,0.697439,0.169293,0.68,0.54
task5_multihop,50000,500,6,0.693062,0.086232,0.68,0.54
task5_multihop,50000,500,5,0.67802,0.100991,0.68,0.54
task5_multihop,50000,500,7,0.62964,0.075606,0.68,0.54
task5_multihop,50000,500,8,0.67953,0.103006,0.68,0.54
task5_multihop,50000,500,9,0.677316,0.104996,0.68,0.54
task5_multihop,50000,1000,1,0.697028,0.508162,0.68,0.54
task5_multihop,50000,1000,0,0.654083,0.517415,0.68,0.54
task5_multihop,50000,1000,2,0.673562,0.490236,0.68,0.54
task5_multihop,50000,1000,3,0.679359,0.499202,0.68,0.54
task5_multihop,50000,1000,4,0.697439,0.563126,0.68,0.54
task5_multihop,50000,1000,5,0.67802,0.494825,0.68,0.54
task5_multihop,50000,1000,6,0.693062,0.480066,0.68,0.54
task5_multihop,50000,1000,7,0.62964,0.469439,0.68,0.54
task5_multihop,50000,1000,8,0.67953,0.496839,0.68,0.54
task5_multihop,50000,1000,9,0.677316,0.498829,0.68,0.54
task5_multihop,50000,5000,0,0.654083,0.529669,0.68,0.54
task5_multihop,50000,5000,1,0.697028,0.520415,0.68,0.54
task5_multihop,50000,5000,2,0.673562,0.502489,0.68,0.54
task5_multihop,50000,5000,3,0.679359,0.511455,0.68,0.54
task5_multihop,50000,5000,4,0.697439,0.57538,0.68,0.54
task5_multihop,50000,5000,5,0.67802,0.507078,0.68,0.54
task5_multihop,50000,5000,6,0.693062,0.492319,0.68,0.54
task5_multihop,50000,5000,7,0.62964,0.481693,0.68,0.54
task5_multihop,50000,5000,8,0.67953,0.509093,0.68,0.54
task5_multihop,50000,5000,9,0.677316,0.511083,0.68,0.54
task5_multihop,50000,10000,1,0.697028,0.535908,0.68,0.54
task5_multihop,50000,10000,0,0.654083,0.545162,0.68,0.54
task5_multihop,50000,10000,2,0.673562,0.517982,0.68,0.54
task5_multihop,50000,10000,3,0.679359,0.526948,0.68,0.54
task5_multihop,50000,10000,4,0.697439,0.590872,0.68,0.54
task5_multihop,50000,10000,6,0.693062,0.507812,0.68,0.54
task5_multihop,50000,10000,5,0.67802,0.522571,0.68,0.54
task5_multihop,50000,10000,7,0.62964,0.497185,0.68,0.54
task5_multihop,50000,10000,8,0.67953,0.524586,0.68,0.54
task5_multihop,50000,10000,9,0.677316,0.526575,0.68,0.54
